Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,dia,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
153,2023-04-11,16,0.1892339640030704,0.1448118586088939,0.3417840375586854,-0.1581397883903816,-0.3235231392621028,-0.0526151444184231,1.3825104022786616,1.1110744891232696,1.9564943253467844,0.3125163957187324,0.2815808045165843,0.3833494675701839,0.4533040815228094,0.3003533568904593,1.0052471692902514,-0.3125163957187324,-0.3833494675701839,-0.2815808045165843,0.2179328772601159,0.1393284446159783,0.6431095406360423,0.0468876975372543,0.0200880045915439,0.1838500360490266,1,-0.4186732458764945,-0.29021896786355816,-0.19117200764378509,-0.17778780033346814,-0.1808412662388022,-0.016024513116746474
156,2023-05-11,16,0.2141491378869322,0.1757482732156561,0.2719374456993918,-0.2972772826994612,-0.3463098134630981,-0.2073614380483629,1.8486207484413468,1.5232181425485962,2.05955334987593,0.2829543861350223,0.2445369406867846,0.3343023255813953,0.8351246218613402,0.4972954109230501,1.3868962219033956,-0.2829543861350223,-0.3343023255813953,-0.2445369406867846,0.3062823410509087,0.1910598413842825,0.8868613138686132,0.0758711620913981,0.046079779917469,0.2425708362128542,31,-0.37219521543537437,-0.29981005966036034,-0.27968710181616485,-0.2819231046392248,-0.28005005135336264,-0.2828363688634013
157,2023-05-16,16,0.1844291534698559,0.1481122942884801,0.2654614652711703,-0.3367029404202236,-0.3890618052467763,-0.2368655387355298,2.0186971441209924,1.6207701283547258,2.273653566229985,0.299778685765007,0.2606060606060606,0.3551912568306011,0.43140096274113,0.301610541727672,0.6887188348555912,-0.299778685765007,-0.3551912568306011,-0.2606060606060606,0.2130787637827186,0.1320921985815601,0.9864864864864864,0.0490019722138734,0.017094017094017,0.2904109589041095,36,-0.364448877028521,-0.3004874989444955,-0.29001464282275247,-0.2936196842082563,-0.29161182775423083,-0.3019421564239688
158,2023-05-21,16,0.1708478111733682,0.1009174311926605,0.2647289866457187,-0.3207889783995176,-0.4378053363397219,-0.1653244907626717,1.958418535333056,1.3961407491486946,2.557486631016043,0.2585343802187957,0.1895861148197596,0.3275862068965517,0.530575362642031,-45.75,4.016393442622951,-0.2585343802187957,-0.3275862068965517,-0.1895861148197596,0.2453300111362713,0.0905923344947734,1.1536113936927772,0.0412122783640556,-0.0136098509397278,0.307502641775273,41,-0.3567025386216677,-0.3009017736528215,-0.2991598631656084,-0.30384915654954353,-0.30183067233988725,-0.3163822189092301
164,2023-06-20,16,0.1802313215757235,0.143963847643641,0.2456538170823885,-0.2931441041192898,-0.3500635324015247,-0.2004816375677302,1.832273832346582,1.5015060240963856,2.0772238514174,0.2450483464654233,0.2090313182811362,0.2921265636497424,0.7535033174948738,0.5078255078255078,1.150855365474339,-0.2450483464654233,-0.2921265636497424,-0.2090313182811362,0.2353766707204837,0.1562829989440337,1.1075731497418246,0.052854136393971,0.0245508982035928,0.2764632627646326,71,-0.31022450818054753,-0.29786096581078636,-0.3309235654788695,-0.3374086287772423,-0.3368072368396408,-0.3406943999049732
165,2023-06-25,16,0.1607262887493437,0.1247863247863247,0.2509293680297397,-0.3427171251262635,-0.3956457685382223,-0.2327350167325829,2.0466125152380195,1.6066613798572562,2.30931744312026,0.2504081242492875,0.2146008824709185,0.3087019931939718,0.4832640247896069,0.3695861405197305,0.8166969147005444,-0.2504081242492875,-0.3087019931939718,-0.2146008824709185,0.1898672511677456,0.1067221067221066,1.0842911877394634,0.0408512291961489,0.012664907651715,0.2859097127222982,76,-0.3024781697736942,-0.29643308848844857,-0.33265309827284895,-0.3388477220970872,-0.3385784062025813,-0.338715606085592
166,2023-07-05,16,0.1758351646440938,0.1456548347613219,0.2434514637904468,-0.3002481277203602,-0.3594239198497182,-0.190364277320799,1.8610813823681591,1.4702467343976775,2.1221896383186705,0.2524834092729482,0.2186379928315412,0.3053715967623252,0.5601187006516003,0.4328846853401236,0.7812087622063869,-0.2524834092729482,-0.3053715967623252,-0.2186379928315412,0.2142748786402071,0.1456090651558073,0.8776371308016877,0.0548953682476547,0.0192662971760358,0.2469018112488084,86,-0.2869854929599875,-0.29278784011634573,-0.3333335564207244,-0.33861230771215894,-0.33898006124076324,-0.33237888166883717
167,2023-07-10,16,0.197920805315658,0.1461214672279013,0.2901520158625247,-0.309731005934805,-0.3713592233009709,-0.1958322201442693,1.901962208013396,1.4870431893687708,2.1814671814671813,0.2569155304684596,0.2139303482587064,0.3162508428860418,0.8440293762941132,0.5351017608049393,2.6224010731052982,-0.2569155304684596,-0.3162508428860418,-0.2139303482587064,0.2984818887324294,0.1728665207877462,1.292020373514431,0.0685443762002617,0.0297239915074309,0.3241537578886976,91,-0.27923915455313414,-0.2905704690665807,-0.3323459501387094,-0.33703320967634753,-0.3376890001694642,-0.32838638563510647
168,2023-07-15,16,0.2405293879975738,0.1812910707383069,0.3208305425318151,-0.2371540296344684,-0.3189024390243902,-0.1424604276589836,1.6254164686092445,1.3322538860103628,1.9364368845120856,0.2903249400883801,0.2503097893432466,0.3366197183098591,0.8364601904212383,0.5563463819691578,1.1691123406302624,-0.2903249400883801,-0.3366197183098591,-0.2503097893432466,0.3484417279954683,0.2313701923076923,0.9933774834437086,0.1031284760654549,0.0697071780253951,0.2727272727272727,96,-0.2714928161462808,-0.2880899334410065,-0.3305140991954519,-0.3345421421743951,-0.33545653343938453,-0.3240213719761431
169,2023-08-04,16,0.2715986765493699,0.1966439433665443,0.3440814594823929,0.069050717134356,-0.0034984349106978,0.1198719231538923,0.8720402106603218,0.7859185132237312,1.0070214338507022,0.2291885140160328,0.1684587813620071,0.2815533980582524,-5.438378497924098,-370.625,1010.0,-0.2291885140160328,-0.2815533980582524,-0.1684587813620071,0.4588396038941513,0.3219026548672565,0.6403409090909091,0.1458062393499661,0.1007212136284506,0.1848077813802686,116,-0.24050746251886737,-0.2755361451806186,-0.31535893245088553,-0.316360975549325,-0.31792687720813084,-0.3042070546979285
