parcela,ndvi_max,ndvi_mean,ndvi_max_date,gndvi_max,gndvi_mean,gndvi_max_date,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento
1,0.6393881816999999,0.51883950795,2021-09-08,0.5554458982,0.49424620780000006,2021-09-05,1.4915340447,1.0783779027500002,0.3592144959999999,0.26914129745,0.9868451316000002,886.5899999999999,1547.8438152553904,49
10,0.7788958653,0.6038705464499999,2021-10-19,0.6510877398999999,0.5577149021,2021-10-26,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.8127330445500002,865.2900000000001,1437.081307409524,80
11,0.7746283089000001,0.6004874001,2021-10-15,0.6444371538999999,0.5299912001999999,2021-10-30,2.3374092941999995,1.6649143521999998,0.4738256397,0.3507093391,0.7917506650000001,870.3800000000001,1523.6000810000646,73
13,0.7496240885000002,0.5679719509333334,2021-10-10,0.6098832911000001,0.4977626512833333,2021-10-16,2.067132301300001,1.3804412547166667,0.4507040027,0.3158126973,0.8712310373333332,882.55,1652.0768965695274,33
14,0.7367244844,0.5863894232333333,2021-10-28,0.6229067356999999,0.5417445835333333,2021-11-02,2.2222354248,1.5866779290166668,0.4485576203999998,0.3342510402666666,0.8307909140833334,883.6600000000001,1654.149153920569,56
15,0.7611704656999999,0.58399928335,2021-10-27,0.6359933822999999,0.5157046078833332,2021-10-28,2.2496327103,1.4981472649,0.4631907513999999,0.3298824152333333,0.7867362105500001,874.2099999999999,1823.3254430957402,62
16,0.6905737508,0.5332018958,2021-09-28,0.5859290142,0.48897049339999993,2021-10-11,1.5695016232,1.0948076883999998,0.3871067494,0.2785640649,0.9291991669000002,855.78,1528.3885717639264,32
2,0.7180140506,0.5531237885333333,2021-11-20,0.6023330378999999,0.49480304289999993,2021-12-27,2.0045511337000006,1.3776129893833338,0.4285045934,0.3092067288166666,0.8580426483833332,891.78,1949.0707764064641,64
3,0.6550456666,0.5624548979333333,2021-09-08,0.5525093972,0.4918081453333334,2021-09-10,1.5712924767,1.2648414586333334,0.3738361457000001,0.3109639298666667,0.8859911409333333,909.9000000000001,1751.2724130834013,48
5,0.7420037236999999,0.5897144841999999,2021-11-16,0.6286882971000001,0.53647624315,2021-11-18,2.2397447323000006,1.5499279837000004,0.4517456005999999,0.3336534473499999,0.8410201585000002,833.55,1246.9143711789766,78
6,0.7350553907000001,0.6043608627,2021-11-27,0.6247160315,0.5345926727,2021-11-28,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.8049999048999998,879.2500000000001,1354.8631538272762,81
7,0.7887253832000001,0.5445686587,2022-01-16,0.6767574776,0.5178565276,2022-01-16,2.4323534117000003,1.4969182941999999,0.4712202434,0.3094343946,0.9477589857000001,865.94,1319.7800849455289,68
8,0.6865940364,0.5482602804,2021-11-12,0.5782480852,0.5070281613500001,2021-11-09,1.6887124969999998,1.1872481675,0.3928709852,0.2893081526,0.8864540224000002,891.9000000000001,1442.6981546335971,73
9,0.7482215073,0.5839626207,2021-11-21,0.6296790798,0.5274512692,2021-11-19,2.1233070154,1.4342724827999997,0.4456726151999999,0.3224883691999999,0.8091424438999999,890.03,1443.4963159875747,71
