Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,y_pred_1,y_pred_2,y_pred_3,y_pred_4,y_pred_5,y_pred_6,y_pred_7,y_pred_8,y_pred_9
3,2022-03-07,3,0.2682695502953463,0.1030042918454935,0.5450716090985678,-0.0084136826729185,-0.3024645257654966,0.3020944266950657,1.078177315939209,0.5359869138495092,1.8672376873661671,0.2645900193226681,0.1094287680660702,0.5015015015015015,16.87395797383096,-85.68181818181819,3465.0,5.421426,0.4785099828396483,2.594206462226423,0,0.37585978533573633,0.239880459926543,0.2522751338061293,0.25354526730617,0.24470992716480308,0.001588565563988825,1.0822955973474375e-06,1.93766831289847e-15,7.836900289989853e-20
4,2022-03-17,3,0.2799245007328691,0.1448450347881087,0.5937038858829317,-0.1187467007179103,-0.3013941698352345,0.1544628540887226,1.320882218173162,0.7324074074074074,1.862844702467344,0.3457853314317316,0.2517289073305671,0.5196998123827392,0.678255811524653,0.3455745822158035,1.6731355697255337,6.4403524,0.4919131758427995,3.168094202630796,10,0.3860282722388332,0.2792099021305375,0.28643504968330813,0.28691317042306347,0.2857982039936706,0.17955248472685756,0.05042079004752549,0.00026606765687594127,1.7333118961369386e-05
5,2022-03-22,3,0.3033488642349384,0.1772501380452788,0.5519956557154494,-0.0324113701451086,-0.2287438288535381,0.2177485620377978,1.0978297621643138,0.6423751686909581,1.593172119487909,0.3779875737221652,0.2728358208955224,0.4977261243052046,0.6386996923156544,0.3819604233778187,1.328237292565007,6.455727,0.5188511938701792,3.3495616612499504,15,0.39111251569038163,0.29818617282562915,0.3031434560674822,0.30331168284292764,0.3047136007055351,0.24591218114598193,0.10111332601772376,0.0012488648884934886,0.00012218914300371922
6,2022-03-27,3,0.3125784419491628,0.1506849315068493,0.6216216216216216,-0.096306458952792,-0.290766674578685,0.2007155635062611,1.264169039859176,0.665673420738975,1.819946452476573,0.3860491089182424,0.2661122661122661,0.5405095249024559,0.6443491471575087,0.3067307692307692,1.4437343072357909,5.671845,0.5294652082415372,3.003044594038722,20,0.39619675914193003,0.31670347658278375,0.31959534115713756,0.31950540646258846,0.32268379081390125,0.29996277042036096,0.16000074812729936,0.00365591758475283,0.00047751187241861577
7,2022-04-01,3,0.3092817039763518,0.1590214067278287,0.5805799055967633,-0.0892101092980981,-0.2338916256157635,0.1512770137524558,1.2275736846797896,0.7372013651877133,1.61059670781893,0.3550123554281157,0.243214475784992,0.5065616797900262,0.734178775890668,0.3610540725530459,1.5284023668639055,5.590019,0.5256739595728046,2.9385274218172097,25,0.4012810025934785,0.3347618134020014,0.3357840897585928,0.33548363705739037,0.33980393564120753,0.34353863613587515,0.2221158670682634,0.008256593337335735,0.0013496796511506218
9,2022-04-11,3,0.3599235176121031,0.2174316179879462,0.5717884130982368,-0.0736989090423565,-0.1807521229276182,0.1126961483594864,1.1782463743225935,0.7974358974358975,1.441263573543929,0.3880345182616077,0.2850194552529183,0.5028901734104047,0.9251016775271113,0.4805327868852459,1.5865946261682242,7.1499596,0.5839120452539186,4.17494753351889,35,0.41144948949657534,0.36950158622662543,0.36734571672217764,0.36675147349861936,0.37183538563841223,0.40570281874154557,0.3415867876694525,0.027023401398395198,0.0061996976263892865
10,2022-04-16,3,0.3848444320214681,0.256198347107438,0.5716046339659847,-0.0646019243938957,-0.1675296475697344,0.1174202593760953,1.1535274831206797,0.7898368883312421,1.4024879614767256,0.3968375279012666,0.3090909090909091,0.5116168800379327,1.2523902129610989,0.6856868856389354,2.1424544258598006,6.278408,0.6125710968246884,3.845971274872898,40,0.41653373294812374,0.38618302223203194,0.3827053646969445,0.38202034212055896,0.38689846543530837,0.42709151430503706,0.39401333168937147,0.04245186585758802,0.011144479513468152
11,2022-05-01,3,0.4636403595194245,0.3507779349363508,0.5811271297509829,0.0597847545835256,-0.0742584975102836,0.2912391475927388,0.899610332064841,0.5488997555012225,1.1604303086997194,0.3953546640021866,0.2794376098418277,0.5054168629298162,2.263346783456674,-82.8,12.99418604651163,4.4133306,0.7031864134473382,3.1033941159713896,55,0.43178646330276904,0.4334735286206291,0.42702026426896655,0.42624514538901176,0.4290382068320536,0.4661244367181398,0.5075424908601298,0.11727212033351696,0.042489740809555636
12,2022-05-06,3,0.4696319602087719,0.3728963684676705,0.5721476510067114,0.0665055444698792,-0.0574918081620494,0.2398279854449222,0.8851493521120003,0.6131270010672358,1.1219974715549936,0.3914861791464098,0.3197797543413808,0.4709576138147566,14.920370159760486,-316.0,1296.25,5.765691,0.7100767542400876,4.094083151231286,60,0.4368707067543175,0.4483190968742874,0.44118183202994316,0.440426483096483,0.4422406463074692,0.47376098157090596,0.5299282922891129,0.15186064851600792,0.06009767423607235
13,2022-05-11,3,0.4708891104243902,0.3903381642512077,0.5639237563923757,0.051726508252799,-0.0485984408691325,0.197366079373554,0.908841455838192,0.670332936979786,1.1021617852161785,0.4128719058255022,0.3449477351916376,0.4957759004001779,3.278263238803454,1.950179533213645,5.919871794871795,5.5266824,0.7115224769880487,3.932358750774254,65,0.4419549502058659,0.4627056981900086,0.4550273417532688,0.4543115268005805,0.45509152533690006,0.479913056451883,0.5451190560804067,0.19086863711579585,0.08192853783995947
