Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,ndre_mean,ndre_min,ndre_max,dia,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
77,2022-03-22,5,0.2543387199581924,0.2091481604242625,0.3717542748575047,-0.118036522380803,-0.2,-0.0217314695172089,1.2688117854307777,1.044428434197887,1.5,0.413411862473963,0.3703981968444778,0.4603174603174603,0.2321267635752422,0.1679894179894179,0.3690652818991098,0.052759124618933,0.0337009803921568,0.0965404817967759,0.1660303818880012,0.1095890410958904,0.2481157672595719,1,0.7801011368616989,-0.2081761251495727,-0.1612611112602625,0.24056503091711615,0.2494925758286295,0.016610384022993797
78,2022-03-27,5,0.1218174790330882,-0.0357698289269051,0.260545905707196,-0.4261108649370167,-0.6805755395683454,-0.0695332171218283,2.5767180016765003,1.149458784346378,5.261261261261262,0.2806490346817527,0.1206225680933852,0.3956989247311828,0.0912914211987922,-0.113821138211382,0.4533213644524236,-0.0148327826863669,-0.1398601398601398,0.1303511303511303,0.0649434491273419,-0.3424317617866005,0.3142298925431455,6,0.7938412900375311,-0.09454497502510265,-0.056980157321169206,0.20613516453078776,0.21080996414185743,0.08640981566139087
79,2022-04-06,5,0.1591350014430256,0.1137884872824631,0.2200113700966458,-0.2219357325671984,-0.3225492106801793,-0.1319952774498229,1.5732225398770434,1.3041349292709468,1.9522439585730724,0.1641462890064461,0.0910307898259705,0.2533733133433283,0.1867316350125101,0.1296167247386759,0.3640069889341875,0.0534663943484734,0.0132643157554189,0.1022222222222222,0.1023860391982668,0.0226537216828478,0.177047572339382,16,0.8213215963891957,0.12468657558572203,0.1455321626604937,0.18383293146126486,0.18235295819687358,0.19707726318914023
80,2022-04-11,5,0.2039006383130951,0.1477777777777777,0.2728066346573549,-0.2957613755206837,-0.3789233007690709,-0.1821459227467811,1.845685796119476,1.445424013434089,2.220214190093708,0.2794885133163666,0.2214960058097313,0.3587786259541984,0.2288166123535766,0.0874524714828897,0.4519044544867656,0.0596642448725449,0.022530329289428,0.1234668847097301,0.1195351137920631,0.0013351134846461,0.1959459459459459,21,0.8350617495650279,0.23028697607207665,0.2437269933064889,0.19369746339273053,0.19014759304417814,0.24367104266505754
81,2022-04-16,5,0.221133029221586,0.1596516690856313,0.2967359050445103,-0.273393298491643,-0.3727428245580688,-0.1510825600761361,1.7599328535746104,1.3559417040358743,2.1884848484848485,0.2861846539660732,0.2328663385081408,0.3571428571428571,0.2996361922051772,0.1674641148325359,0.4747991234477722,0.0761218860847443,0.0207496653279785,0.136241610738255,0.1287570010397171,0.0235533585344576,0.2101990049751243,26,0.8488019027408602,0.3332104600123928,0.3398565807915436,0.21611384333634603,0.21106228846238573,0.28763305968751307
82,2022-05-01,5,0.3060582345563595,0.2013949433304272,0.4504373177842565,-0.1964871218086477,-0.3397769516728624,-0.0441988950276243,1.4981788774768745,1.092485549132948,2.029279279279279,0.3049331840722694,0.2204042348411934,0.3985148514851485,0.4547795267040036,0.265947888589398,0.8029978586723769,0.1401482404779091,0.0776614310645724,0.2278864701019564,0.1774936532100019,0.0442963543708349,0.2829728906487968,41,0.890022362268357,0.6259194125571105,0.6156712072981924,0.34826126356144416,0.3414231192439512,0.42182393042825345
83,2022-05-11,5,0.3334223285870771,0.1277693474962064,0.5352112676056338,-0.1335984759721495,-0.2733588051406738,0.105383131685078,1.319599370089399,0.8093274111675127,1.7523900573613769,0.338946882821164,0.1454912129069432,0.4595701125895599,0.5451956684518688,0.1724489795918367,0.982991202346041,0.1660386679819136,0.0602197802197802,0.2860798362333674,0.2047149445358002,0.0105540897097625,0.3390042531898924,51,0.9175026686200215,0.8076741315233965,0.7888865013626568,0.48055521092276765,0.4741812908426574,0.5261515729309417
85,2022-05-21,5,0.3860674058719301,0.2680851063829787,0.533203125,-0.1052283811385594,-0.2315847194297203,0.0256743581410464,1.240708696479214,0.949936628643853,1.6027592768791628,0.3763079959888036,0.2954279015240328,0.4719101123595505,0.6458941198757358,0.3860898138006572,1.0559626915389742,0.1963932246400116,0.1204238921001926,0.2778952313836035,0.2429781657562706,0.1431252932895354,0.3444244604316547,61,0.944982974971686,0.9787211843055286,0.9534023980244655,0.6395402206757526,0.6344667894873512,0.649688223166663
87,2022-06-05,5,0.4424669188723,0.2826873385012919,0.5873198847262248,-0.0842388035825954,-0.2183908045977011,0.0858034321372854,1.1882291577035096,0.8419540229885057,1.5588235294117647,0.4301474883453836,0.3437688139674895,0.5196280991735537,0.8014565456317015,0.3885350318471336,1.3788098693759072,0.2268692021019915,0.1064737965378231,0.3331720300024196,0.2890048696354649,0.1369674759505268,0.3968253968253968,76,0.9862034344991828,1.2152148893834385,1.183545188167173,0.9131321548604802,0.9108402219452366,0.8754998206533722
88,2022-06-10,5,0.5108210647930739,0.3325077399380804,0.6948383437322745,-0.0331566139283261,-0.2104487044449125,0.1456500488758553,1.074242529858075,0.7457337883959044,1.533084311632871,0.4721333528473407,0.3588732394366197,0.588937093275488,0.95830663148738,0.4092427616926504,1.4181977252843394,0.2709910368423772,0.1228327228327228,0.3610955841252096,0.3235013401825032,0.1463878326996197,0.4466230936819172,81,0.9999435876750151,1.2886922913173313,1.2557514327949253,1.01052115757152,1.0092394904492878,0.9612442868775757
