Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,dia,ndvi_mean_pred_1,ndvi_mean_pred_2,ndvi_mean_pred_3,ndvi_mean_pred_4,ndvi_mean_pred_5,ndvi_mean_pred_6
206,2022-05-01,2,0.1563744254942061,0.0804447351209941,0.2,-0.163946182219198,-0.2584352984797923,-0.0161490683229813,1.3991255653338848,1.0328282828282829,1.697,0.2238218947916121,0.1207598371777476,0.3030056864337936,0.8121129811789731,-6.131221719457014,47.77777777777778,-0.2238218947916121,-0.3030056864337936,-0.1207598371777476,0,0.2821955623425799,0.11666504432336608,0.12386985357677324,0.14481486126021748,0.15150387756748693,0.16384547411845338
123,2022-05-06,2,0.1738282385040526,0.0795454545454545,0.2219752302318196,-0.1782553512732216,-0.2490528974322997,-0.029253451907325,1.440872132030156,1.0602700096432016,1.663303437967115,0.228262888431588,0.1111111111111111,0.3023872679045092,-1.3881842212618798,-921.6666666666669,21.77165354330709,-0.228262888431588,-0.3023872679045092,-0.1111111111111111,5,0.2922122865491821,0.14833721216646162,0.1536490369910097,0.1661094207652736,0.16878953104654276,0.1715953358595694
122,2022-05-11,2,0.1930608346891495,0.1430997876857749,0.228395061728395,-0.1962978163573591,-0.2412626832018038,-0.1067859021567596,1.4901987331139774,1.2391048292108362,1.6359583952451708,0.2906124944425111,0.250348351137947,0.3362799263351749,0.4955332600740265,0.3376076938489281,0.6631299734748011,-0.2906124944425111,-0.3362799263351749,-0.250348351137947,10,0.30222901075578423,0.17922963099399306,0.18282802560161143,0.1881941228865884,0.187951126180914,0.18477718531947052
124,2022-05-16,2,0.2189230045647799,0.1607651607651607,0.2666105971404541,-0.1660601079482355,-0.2181568088033012,-0.0877611940298507,1.3999050644074558,1.192408376963351,1.558057705840957,0.3229361196455405,0.2812219227313567,0.378563695416817,0.5190454036304265,0.3573994252873563,0.6906077348066298,-0.3229361196455405,-0.378563695416817,-0.2812219227313567,15,0.3122457349623864,0.20934230080596042,0.2114004141723965,0.21094767383043997,0.20870332394382354,0.2023183862107722
121,2022-05-21,2,0.2209486474585293,0.1506258092360811,0.2837688627162311,-0.1731993227700181,-0.2270642201834862,-0.0853909465020576,1.4207675206813066,1.186726659167604,1.5875370919881306,0.3143880059120981,0.2693069306930693,0.3798991074893287,0.5525378183869846,0.3504016064257028,0.7335058214747736,-0.3143880059120981,-0.3798991074893287,-0.2693069306930693,20,0.32226245916898855,0.2386752216023637,0.23935979746718292,0.2342528150759702,0.23077850701189387,0.22327300206598835
205,2022-05-26,2,0.2376276193678403,0.161660777385159,0.3039049235993208,-0.1992717690423331,-0.2634498058790904,-0.1320754716981132,1.4997138203566955,1.3043478260869563,1.7153614457831323,0.3028891001929646,0.2602212602212602,0.3527080581241744,0.7857135660222601,0.4645849200304646,1.052012929767852,-0.3028891001929646,-0.3527080581241744,-0.2602212602212602,25,0.33227918337559076,0.26722839338320287,0.26669977024978875,0.25799632337518524,0.253926276510413,0.246812400043468
120,2022-05-31,2,0.26433743109959,0.1791179117911791,0.3309189678587596,-0.1863690109913391,-0.2584902862227495,-0.0890619708770741,1.4601260686054391,1.195539033457249,1.6972,0.319956692056321,0.2638687891944042,0.3636363636363636,0.8661403911570501,0.5320855614973262,1.2079615648592998,-0.319956692056321,-0.3636363636363636,-0.2638687891944042,30,0.3422959075821929,0.295001816148478,0.2934139272840321,0.28206901075295515,0.2779129487586004,0.27221618696441535
204,2022-06-05,2,0.2783741997802404,0.1589871315898713,0.369622475856014,-0.1648706496814427,-0.2434354485776805,-0.0975877192982456,1.3968933603472258,1.2162818955042527,1.64352856109906,0.3454494255033539,0.2723091076356945,0.3997308209959623,0.7282299109710164,0.390896101245152,1.0133795837462836,-0.3454494255033539,-0.3997308209959623,-0.2723091076356945,35,0.35231263178879507,0.321995489898189,0.3194958633337309,0.306365724507014,0.30252105201487295,0.2988634775809953
134,2022-06-10,2,0.2963148701669802,0.1581108829568788,0.3900955690703735,-0.1395667045468187,-0.2166597710660598,-0.0728660652324774,1.3265986617923022,1.157185628742515,1.5531690140845071,0.3538527988734719,0.2572447614801605,0.4154652686762778,0.7382032754129939,0.3570117474302496,1.039351851851852,-0.3538527988734719,-0.4154652686762778,-0.2572447614801605,40,0.36232935599539723,0.34820941463233585,0.3449391731627033,0.33078534720795993,0.32754882322211065,0.3262244950755216
138,2022-06-20,2,0.3135244083029931,0.2292328642759873,0.3595406360424028,-0.0293145778612192,-0.1116942758733803,0.0175438596491228,1.061588514503149,0.9655172413793104,1.2514771048744462,0.2974437658649518,0.2571959145775301,0.3260105448154657,2.0416654286423097,0.9704321455648218,4.291925465838509,-0.2974437658649518,-0.3260105448154657,-0.2571959145775301,50,0.38236280440860154,0.3982980170539374,0.39388429321374085,0.37960902609722585,0.378131841154914,0.3813760741911358
