Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,ndre_mean,ndre_min,ndre_max,dia,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
156,2023-03-12,15,0.1859596589629248,0.1443850267379679,0.270241850683491,-0.1862983320209759,-0.2463669003248418,-0.0384079601990049,1.4614209701009844,1.0798841059602649,1.6538112522686026,0.2743733668857144,0.2432786885245901,0.3535014005602241,0.1789450531028694,0.1325369738339021,0.6398362892223739,0.0347708509412511,0.0164693772516726,0.2,0.0952241199167102,0.0438131921039961,0.2447192168985059,1,0.21544644024180443,0.04850545834599947,0.010703775765865451,-0.009167786611557486,0.0044345161416909475,0.0012697779267029784
157,2023-03-17,15,0.1649047593523805,0.1431962025316455,0.2442850739578664,-0.1575357896052896,-0.20256,-0.0240806421504573,1.3757056438822404,1.0493496557000763,1.5080256821829856,0.300268142741651,0.2790123456790123,0.3572170301142264,0.1448815112482122,0.086229652441707,0.802097902097902,0.0327105567612047,0.0127064803049555,0.2289026691830682,0.0964111149904677,0.0582690659811482,0.2927794263105835,6,0.2183671301317418,0.06583890679972823,0.03489501959164974,0.021178998659868376,0.027315052487693278,0.010617127146033746
159,2023-03-27,15,0.1711811959353729,0.1485355648535564,0.2253449156872764,-0.2209242254706206,-0.2694711944585234,-0.1008623922009748,1.5685040156014047,1.224353628023353,1.7377428307123035,0.269585353634857,0.2432432432432432,0.3068119891008174,0.1890686797493756,0.1475409836065573,0.6585987261146498,0.0519656476529935,0.0324675324675324,0.1974811083123425,0.0940472014936294,0.0490053372149442,0.2086693548387097,16,0.2242085099116166,0.09937320799850802,0.08075960291834489,0.07706136967215146,0.07272388702796166,0.042697465975877126
160,2023-04-11,15,0.2850919088747279,0.2148419606046724,0.3884093711467324,-0.1223720701260833,-0.2386503067484662,0.0215237444482405,1.2895194034027462,0.9578595317725752,1.6269137792103143,0.3166009130475206,0.2401075681905493,0.4027978774722624,0.4403643336651526,0.3063492063492063,1.3438256658595642,0.1260636131110508,0.0785796105383734,0.331715210355987,0.191390262713962,0.1095090971507037,0.2920252438324727,31,0.23297057958142875,0.14684317052498333,0.14344571770927161,0.149775044061894,0.13846263394335132,0.11081550292464201
161,2023-04-26,15,0.3226702263210936,0.2557205941389,0.4082114204813591,0.0155524216216039,-0.0604651162790697,0.1608961303462321,0.9737519856379596,0.7228070175438597,1.1287128712871286,0.3077168365863391,0.2617611580217129,0.3751152073732718,0.589394402085808,0.4311797752808988,1.050286441756843,0.1774602224323943,0.1316157379668464,0.285540112167764,0.239698273472958,0.1840562719812426,0.3102085620197585,46,0.2417326492512409,0.1909153459254254,0.19909332124216714,0.21055161986443302,0.19942525415200923,0.18655327098917357
162,2023-05-01,15,0.3964709796391953,0.299801455989411,0.4828496042216358,-0.0880557142734288,-0.1766233766233766,0.0245133381398702,1.1960736501461768,0.952146375791696,1.4290220820189274,0.3941230260637366,0.3297224102911307,0.4536989136057941,0.6192381370421964,0.4283570892723181,1.2712886209495102,0.1860646344644,0.1264744429882044,0.3341695935775213,0.2489468766772508,0.1755915317559153,0.3386716910032972,51,0.24465333914117832,0.20485100725312091,0.21613565344207974,0.22841456023829856,0.21839430043503166,0.21118546921553316
163,2023-05-11,15,0.4297242173789234,0.3450586264656616,0.5306178996952065,-0.0898862483579953,-0.1797080641301746,0.0112972341254382,1.2006143486178342,0.977657935285054,1.4381563593932325,0.3856221119223106,0.2993197278911564,0.4552160168598524,0.7524775039386457,0.5930470347648262,1.356206630686199,0.2173015898033458,0.1734917161613004,0.3353830386881886,0.2629802441078743,0.1794673871092242,0.3462002412545235,61,0.2504947189210531,0.23158973419983422,0.24803361462055307,0.2608581402627785,0.25403099579163657,0.2575213517302151
164,2023-05-16,15,0.4906449280845432,0.2895086321381142,0.6057825966082847,0.0813437254402074,-0.0609062170706006,0.2791411042944785,0.856833222339945,0.5635491606714629,1.1297127468581687,0.435628219682905,0.2555282555282555,0.5197132616487455,0.8740523793057876,0.296398891966759,1.6440528634361231,0.257728679603062,0.0474934036939313,0.4170518746789933,0.2978297714754933,0.0617823947512301,0.4149738827626233,66,0.25341540881099045,0.24439279981885198,0.26291377701418944,0.27553782779279745,0.27063131419100817,0.2787665798902036
166,2023-06-05,15,0.6718903606025265,0.5488721804511278,0.7624270711785297,0.1269182032873522,-0.0165108414561368,0.231178328070467,0.7766185417290139,0.6244600431965442,1.0335760517799353,0.5752375829263324,0.4699148811270913,0.6424581005586593,1.8504569412733416,1.2765957446808511,2.4501541623843783,0.4175779685816019,0.3343169076423724,0.488836354084581,0.4754598824479553,0.3733333333333333,0.5593370165745857,86,0.26509816837074,0.29182974326599737,0.31559519512728307,0.32506730671776923,0.3284162531145006,0.3478836327096602
168,2023-06-15,15,0.6503089336345983,0.5185694635488308,0.7450722733245729,0.1466339846241572,0.0443008040359451,0.2540045766590389,0.7467963152821182,0.5948905109489051,0.915157004830918,0.5671138983745615,0.4825425246195166,0.6435643564356436,1.7821388492339283,1.2311258278145694,2.4100974313551817,0.4005773429367943,0.3179765130984643,0.4714518760195758,0.4746342210515434,0.3889113719142048,0.5606354126307632,96,0.27093954815061483,0.3132830235722145,0.3380040992124883,0.34493003173799813,0.35201870152793646,0.37236305675888626
